week,alpha,EXCELLENT,GOOD,NORMAL,DISAPPOINTED,Excellent_lead_1wk,Good_lead_1wk,Normal_lead_1wk,Disappoint_lead_1wk,Excellent_lead_2wk,Good_lead_2wk,Normal_lead_2wk,Disappoint_lead_2wk,Alpha_class
205,5.61,0,1,1,0,0,0,0,0,1,1,0,1,6
206,-1.5200000000000002,2,0,1,0,0,1,1,0,0,0,0,0,3
207,0.68,0,0,0,0,2,0,1,0,0,1,1,0,4
208,0.5900000000000001,0,0,0,0,0,0,0,0,2,0,1,0,4
209,0.15000000000000013,1,0,0,1,0,0,0,0,0,0,0,0,4
210,2.6499999999999995,2,0,0,1,1,0,0,1,0,0,0,0,5
211,0.97,0,0,0,1,2,0,0,1,1,0,0,1,4
212,3.44,0,2,1,0,0,0,0,1,2,0,0,1,5
213,0.7000000000000002,1,1,0,0,0,2,1,0,0,0,0,1,4
214,-1.47,2,1,0,0,1,1,0,0,0,2,1,0,3
215,1.9600000000000002,0,0,0,1,2,1,0,0,1,1,0,0,4
216,-3.63,1,1,0,0,0,0,0,1,2,1,0,0,2
217,0.42,0,0,0,0,1,1,0,0,0,0,0,1,4
218,-3.5500000000000003,0,0,2,0,0,0,0,0,1,1,0,0,2
219,1.04,0,0,1,0,0,0,2,0,0,0,0,0,4
220,2.5100000000000002,0,0,1,0,0,0,1,0,0,0,2,0,5
221,-1.3800000000000001,2,0,1,0,0,0,1,0,0,0,1,0,3
222,2.62,1,0,1,0,2,0,1,0,0,0,1,0,5
223,-2.98,1,0,0,1,1,0,1,0,2,0,1,0,2
224,1.0699999999999998,0,3,1,0,1,0,0,1,1,0,1,0,4
225,-1.6300000000000001,1,0,4,0,0,3,1,0,1,0,0,1,3
226,3.63,0,0,1,1,1,0,4,0,0,3,1,0,5
227,1.7100000000000002,0,1,1,0,0,0,1,1,1,0,4,0,4
228,1.92,1,2,0,0,0,1,1,0,0,0,1,1,4
229,-1.81,0,1,1,0,1,2,0,0,0,1,1,0,3
230,0.9300000000000002,1,0,0,0,0,1,1,0,1,2,0,0,4
231,0.05999999999999983,0,2,1,0,1,0,0,0,0,1,1,0,4
232,-2.1199999999999997,0,1,1,0,0,2,1,0,1,0,0,0,3
233,-2.6100000000000003,1,2,0,0,0,1,1,0,0,2,1,0,2
234,1.4699999999999998,0,2,0,0,1,2,0,0,0,1,1,0,4
235,-2.9599999999999995,2,0,0,0,0,2,0,0,1,2,0,0,2
236,0.31,1,2,0,0,2,0,0,0,0,2,0,0,4
237,3.69,1,0,0,0,1,2,0,0,2,0,0,0,5
238,13.139999999999999,1,1,0,0,1,0,0,0,1,2,0,0,6
239,-2.25,1,2,0,0,1,1,0,0,1,0,0,0,3
240,-1.89,1,0,1,0,1,2,0,0,1,1,0,0,3
241,-3.9799999999999995,0,0,0,0,1,0,1,0,1,2,0,0,2
242,-2.2199999999999998,0,2,0,1,0,0,0,0,1,0,1,0,3
243,-0.86,0,1,1,0,0,2,0,1,0,0,0,0,3
244,2.23,1,2,1,1,0,1,1,0,0,2,0,1,4
245,2.25,1,2,0,0,1,2,1,1,0,1,1,0,4
246,2.05,1,1,1,0,1,2,0,0,1,2,1,1,4
247,3.57,1,3,0,0,1,1,1,0,1,2,0,0,5
248,-4.11,1,1,0,0,1,3,0,0,1,1,1,0,2
249,7.02,2,4,2,0,1,1,0,0,1,3,0,0,6
250,0.24,0,1,2,0,2,4,2,0,1,1,0,0,4
251,-3.05,0,0,0,0,0,1,2,0,2,4,2,0,2
252,1,0,0,0,0,0,0,0,0,0,1,2,0,4
253,-1.07,0,1,1,0,0,0,0,0,0,0,0,0,3
254,-4.36,2,0,1,0,0,1,1,0,0,0,0,0,2
255,0.51,3,2,0,0,2,0,1,0,0,1,1,0,4
256,-0.19999999999999996,2,0,1,0,3,2,0,0,2,0,1,0,3
257,-3.6800000000000006,0,0,1,0,2,0,1,0,3,2,0,0,2
258,0.81,1,1,1,0,0,0,1,0,2,0,1,0,4
259,-1.0699999999999998,1,2,1,0,1,1,1,0,0,0,1,0,3
260,-0.09,0,0,0,0,1,2,1,0,1,1,1,0,3
261,2.15,0,1,0,0,0,0,0,0,1,2,1,0,4
262,4.6899999999999995,1,0,1,0,0,1,0,0,0,0,0,0,5
263,3.48,0,1,1,1,1,0,1,0,0,1,0,0,5
264,-1.4499999999999997,2,1,0,0,0,1,1,1,1,0,1,0,3
265,17.02,1,1,1,0,2,1,0,0,0,1,1,1,6
266,1.2199999999999998,1,2,1,0,1,1,1,0,2,1,0,0,4
267,-1.7999999999999998,1,2,1,0,1,2,1,0,1,1,1,0,3
268,5.13,2,0,1,0,1,2,1,0,1,2,1,0,6
269,0.79,1,2,0,0,2,0,1,0,1,2,1,0,4
270,6.319999999999999,0,1,2,0,1,2,0,0,2,0,1,0,6
271,5.069999999999999,2,0,2,1,0,1,2,0,1,2,0,0,6
272,-2.88,2,0,2,1,2,0,2,1,0,1,2,0,2
273,2.08,0,2,3,0,2,0,2,1,2,0,2,1,4
274,-2.9899999999999998,1,1,2,0,0,2,3,0,2,0,2,1,2
275,0.04999999999999982,0,1,2,0,1,1,2,0,0,2,3,0,4
276,4.42,1,1,0,1,0,1,2,0,1,1,2,0,5
277,4.32,1,0,2,1,1,1,0,1,0,1,2,0,5
278,-4.9399999999999995,0,2,2,0,1,0,2,1,1,1,0,1,2
279,0.8999999999999999,0,0,1,0,0,2,2,0,1,0,2,1,4
